Missing Entries at Wed Jun  8 23:10:10 2022
9Sweetie 2110-5377-4584
AaronW 2969-5286-9334
Abhilash 2282-3373-6466
Achuu 2625-9320-9109
Adaze 3270-1816-3862
Airko 4900-2812-6498
Ais 2840-6810-0848
Aker 0864-9953-0739
Akira 2926-5814-2129
Akiyo 1681-0406-1288
Akmeaf 0693-2066-7001
Akseli 4902-2710-1668
Alec 2625-9428-4075
Alex99 0134-8572-5504
AlexGER 0521-3971-1195
AlexITA 5031-1268-0753
Ammo 0650-2512-2525
Amp 0392-5489-1276
Andreese 5417-6642-4980
Andrei 0091-9029-5792
Apple 2580-3393-5733
Apraxia 4215-0705-2144
Ardit 2797-7301-2714
Areo 4945-2266-4526
Arrow 2196-4348-1241
Arti 4642-8389-5822
Askaran 4816-3741-5308
AstroBooker 4472-7661-8154
Aura 4558-6675-6141
Axel 2711-8440-7910
Aymr 4300-9698-6129
Az 3356-0780-1530
Babe 1423-3437-2508
Bad Wolf 4086-2278-0250
Balou 0736-1550-2183
Beat 1251-5440-6929
Beau 1638-0913-5142
Ben 2153-4901-1886
Bernhard 1164-4148-9681
Bickbork 0091-9091-5165
BigRaz 0263-7076-0421
Bixbolt 4215-0835-8671
Blazeyy 4429-8273-7534
Blounard 0693-2080-9883
Bobchan 4126-9801-8502
Bort 2024-6384-1288
Boshievie 1079-7522-4970
Braixen 0518-2555-8124
Brandon 2540-0401-3196
Broly 5287-1765-3928
Broph 1079-7519-7154
Bry 3399-0286-4804
Cabbage72 0306-6511-2094
Caleb 3313-1359-5191
Calum 5031-1177-8704
ChainChompBraden 1977-1701-1972
Chaos 0521-3992-9431
Charge 2967-5103-3075
Charichan 0779-1013-1073
Chateaux 2497-0848-5317
Chenzo27 4000-3345-0579
Chilly 4984-9925-5184
Chéron 0736-1458-9776
Clément 4511-3878-3394
Cobra 2796 5074 6979
Colvin 1636-4754-7171
ConnorUS 2368-2482-3798
Cosmos 0820-7515-3020
Crash 3139-9222-2991
Cross 5371-9119-2734
Crowe 2926-5878-5495
DKSC4life 1509-2496-8072
DaNii 3611-4219-1668
Dalkir 0864-9968-1080
Dane 1419-5813-5333
Danny 1337-4487-1221
Darkz 4343-9248-0756
Daseia 3227-2287-3933
Daviid 2411-1874-4456
Daze 2969-5312-0649
Deco 0176-5541-9084
DemonMK 2067-5947-2937
Denmark 4597-3865-2553
Derek 1766-9377-3270
Dracula 4687-5314-7130
Dragone 0865-0030-6188
Drone 3441-9767-7744
Dynasty 4644-5801-5910
EZ 3270-1857-6611
Echo 3227-2357-8426
Edna 1937-0661-6267
Eirik 3098-3826-3325
Elmer 1466-3013-4998
Elox 0175-1511-7680
Emily 4601-6183-6485
End 0220-7542-0230
Ensuto 1809-9005-6773
Epicdevil 4000-3295-8526
Eric 0389-3835-0982
Erupt 0134-8505-7714
FK Yazid 0220-7516-5940
Fabian 5288-8241-3274
Falco 1723-9966-8674
Fatal 3570-8380-6932
Feysal 2368-2401-7819
FioNa 2711-8399-6117
Flowx 2067-5907-1776
Foo 3655-1780-9609
Fred 3742-6329-0657
FredUS 2110-5397-4189
Fuadius 3914-4212-2982
Funky MK 4816-3742-2828
Gabo 1208-6020-6223
GabrielUS 4902-2785-9079
GalDen 1251-5441-6615
Galla 3441-9848-0492
Gamma 4472-7823-4604
George 2324-0318-3125
GeorgePlays02 0521-4047-5598
Georgio 0220-7586-6616
Gisko 3699-6841-0413
Glitch G 2454-1386-2885
Gluke19 3227-2361-1564
Goofy 4043-2705-5358
Gray 3742-6224-4180
Gumi 4902-2652-8943
Gureatest 5031-1277-7512
H7 4556-3864-7759
Hedwig 4129-1753-7059
Hiduke 2110-5450-4444
Hinako 1766-9459-4864
Hiroto 2711-8314-6940
Hizumi 3910-3592-0645
Hoesay 0091-9101-7995
Horse 4472-7742-4223
Hydr8ion 4172-1272-3317
Hyp 1122-6928-7412
HyperKnight 2926-5813-7523
Ignacio 2883-6392-5653
Impact 1766-9462-1621
Insane 3227-2277-6058
Istior 0562-1545-4965
JAYU 0907-9464-7401
JMAN37 1681-0463-4049
Jack 3613-7745-6793
JackAUS 2411-1833-5658
Jaden 4212-0759-0161
Jaggy 2580-5050-0147
JakeH 0907-9482-7682
JakeSG 2754-7876-5804
JakeUK 4945-2233-2972
Jamez 3699-6747-6404
Jamo 1337-4551-5526
Jan 1766-9384-8064
Jawdyn 5331-7705-3021
Jck 5287-4910-1200
Jef 2969-5403-5354
Jeroen 0134-8518-2633
Jessica 3914-4355-3064
Jesus 0690-5527-1295
Jesús 4558-6770-3451
Jinays 2454-1466-0499
Joeyjas 2969-5349-1160
Jogn 3012-4786-1177
JonahMD 3270-1790-1253
JordanFR 5460-6246-4345
Jorge 0989-1886-7905
Josemi 1165-6508-1759
Josh 4945-2196-6892
JoshCAN 1208-5944-6554
Judah 0779-0998-9397
JustinH 2754-7823-0017
Jyran 3785-5742-5786
KB9 5331-7692-0834
KRUSTYKRAB 2153-4911-3827
Kaguya 1681-0399-3581
Kaizo 4172-1215-9227
Kaizox 4215-0823-7471
Kapera 2411-1984-0173
Karteer 3914-4284-5188
KasperUS 1208-5949-8691
Kato 4773-4189-0814
Kazam 2969-5426-8301
Kenny 5417-6635-5769
Khris 2239-3863-1075
Kingler 3313-1256-1710
Kiralte 0392-5499-9455
Klover 1981-6869-4068
Kocchi 0435-5003-6040
Kopa 2282-3475-9733
Kotoran 2883-6297-8556
Koven 1251-5510-1652
Kroma 0006-0022-1894
Krylo 3313-1334-1291
Kyaujah 0907-9598-6070
Kyle 3141-3289-4376
Kyon 0822-0448-9999
Kyoryu 0564-3516-1542
Kyouko 3356-0835-9762
Lambo 1337-4557-3470
Landon 1337-4425-5365
Larb 0907-9539-4807
Larry 2882-3769-7743
Layla 5159-9681-6330
Lemmy 0392-5566-7372
Leo 4043-2731-4907
Leon 0349-6006-6968
LeonNL 1766-9504-1312
Lewy 3484-9322-0511
Lexin 3227-2271-3276
LiamNL 4386-8738-0862
Lidl19 0177-8104-4953
Lifeboat 2497-0970-3167
Lion 0650-2460-7813
Lloyd 4213-0294-7775
Logia 2840-6953-9484
Lore 0177-8011-1298
LucaGER 2883-6413-3683
Luciano 2883-6332-0933
Lucid 2325-2956-0053
Luk3 1165-6506-0268
LukeIRE 5031-1124-3696
Lumi 0648-2982-6982
Luna 0478-4488-3103
Madison 0478-4577-5077
Malachy 3055-4355-9531
MankOH 2840-6835-5667
Marc 2411-1871-8486
MargLBN 3399-0337-6917
Mark 2711-8312-4623
Markus 1337-4529-0175
Marlin 2110-5351-9301
Marron  0993-8484-0880
MarvinUS 4429-8243-4364
Master67x 1506-6857-0795
Mat 0006-0026-4451
Matt EuTF 3353-9658-0443
MatthewAUS 1294-5034-2576
MeatySticky 4644-5707-6087
Mehdi 4343-9222-8474
Mike 3055-4419-7075
MikeV1 4043-2730-6307
Minato 5288-8214-1400
MitchAUS 4300-9788-1069
Miya 4258-0298-7106
MoBa 1380-4039-0494
Moises 0091-9141-4273
Monster 1161-5979-1632
Monyz 0220-7512-6227
Mookie 0349-6106-5509
Mossan 3141-3334-3616
MrCactus 3227-2291-0733
Mura 1294-4924-7889
Mythos 2108-7783-4048
NEO 2067-5964-0223
NITROFOX 2926-5898-1544
Nacht 2239-3942-3467
Nago 4472-7776-1282
NateRNH 3742-6374-5744
NathanUK 5374-7174-0032
Negima 4644-5730-3839
Nelly 1936-3457-2801
Nico 5202-9162-5431
Niklas 2926-5868-3805
Nikos 1466-2898-9455
Nlaw 2497-0902-1430
Noah Cove 1981-6940-3802
Noahb 4043-2766-0969
Non 5031-1137-3592
Nonge 5330-2085-2490
Noriken 0564-3537-9709
Nota 4386-8705-5739
Notion 0349-6063-2493
Nougat 0948 7734 5553
Nuclear 2325-2925-2222
Nuke 2625-9348-2641
Nxvy 2540-0422-9287
Nyoni 3399-0307-6098
Oga 4644-5765-0025
Ops 2497-0934-7018
Optllizer 2067-5846-9417
Ouloul 0864-9997-0414
Pabloski 5117-0199-2419
Pansh 1165-6431-7946
Paprika 2282-3487-3668
Parpie 1766-9479-1316
Password 4902-2731-4441
Pat1 2368-2455-3251
Pepe 4644-5717-7879
Phoenix 4515-7215-9101
Pokko 4730-4763-8558
Police 3055-4408-2112
Prin 0478-4467-9824
Proto 1337-4419-6037
Pryze 1548-9148-1138
Psycho 1981-6868-2283
Qatar 1423-3504-0359
Qmugehu 4730-4691-2598
Quinn 4640-0793-0184
Racer 0434-0772-8678
Rachy 0134-8501-1281
Raf 2840-6813-0943
Rahul 3699-6746-4718
Raven 4000-3226-5422
Rentorar 1078-1278-8838
Renvoid 3184-2908-5903
Rhino 3484-9354-4228
Richard 0392-5620-9762
Ringo 0779-1054-9876
Ripper 1466-2971-3144
Roast 0607-3038-2380
Rogue 1294-4986-0754
Rompe 3098-3845-8673
Roy :4859-3205-0064
Ruby 0607-3069-4798
Rui 2711-8322-1994
Ruki 0349-6004-3835
Ruko 0736-1558-7737
Ry 0478ｰ4567ｰ9805
Ryan 2966-6524-7278
Ryder 1380-4016-8729
SA 10 3484-9394-3882
SCAR 2668-8968-0979
SSjonahSS 0177-8017-8784
SaGaR 2969-5344-8460
Sabby 5115-6923-5863
Saber 1981-6869-8580
Sabo 2582-9951-6966
Safire 0176-0200-2003
Saki 4472-7768-5403
Samuel 5117-0112-9490
Sanchez 2969-5403-3874
Sardine 4172-1295-1847
Saru 2239-3910-6437
Sasa 3869-6197-9069
Sasha 0993-8489-1100
Sassak 2797-7368-5957
Sasuke 3098-3834-8260
Scept 0177-7988-8666
Scythe 1766-9461-4088
Sean 1723-9901-9393
Sebas 2368-2353-3333
Serene 0779-1100-7013
Sergio 2067-5857-9194
Sethseib 4816-3665-6338
Shaka 2110-5361-6487
Shamo 0607-2957-3670
Shamron 2325-2840-2545
Shaun 1552-1889-8425
Sherm 0865-0088-0170
Shiroe 4642-2855-1186
Shix 3739-9445-3474
Siege 0907-9551-5131
Silviu 3828-5229-0681
Simeon 3441-9835-9839
Skylar 1809-8941-9251
Smu 4472-7714-1223
SnoopyFR 1208-5967-5261
Snow 2067-5865-5496
Sodalite 2540-0407-0567
Someone268 0177-8085-2344
SonicAdam 0347-3155-5733
Spade 5243-7160-5304
Spart 2840-6814-2745
Spec 4730-4740-4760
Spike 2493-4452-2909
Spock 1079-7432-6162
Spongey 0349-6076-0137
Spoof 2325-2850-7931
Starlight 0779-1101-1155
SteveUS 2840-6847-7681
StripE 3785-5722-6245
Sufy 0478-4536-7459
Suis 0306-6551-5643
Sukay 3656-7296-1413
Sumosuma 3141-3314-4679
Supreme 5331-7613-6606
Syo 2540-0443-0303
TK 3914-4239-7793
Tank 5159-9729-8144
Taxi 2926-5826-4355
Tears 1509-2413-5417
Tekken 4730-4675-0250
Teovani 5460-6109-3950
Test 4472-7759-5692
TheCoolBoy 4129-1724-7900
ThomasNL 2454-1409-0265
Thunda 1294-5024-0059
Tien 3957-3796-8309
Tigerwoods 2797-7452-8078
Timmi 3527-8836-8391
Toad 2065-7782-0410
Tobun 3141-3402-0493
Toku 5074-0756-9658
Tom 4429-8269-8410
Tony 2840-6947-7109
Tramzy 1509-2392-6306
Trap 4255-7908-2347
Trashy 3828-5225-8755
TrentAUS 0864-9948-3474
Tunes 3399-0373-9930
Twan 1809-9008-4585
Type 2883-6348-0710
Tyy 0650-2575-5655
USK 3227-2330-1471
Udo 1380-3932-5412
Under 0435-5126-2986
VLok 2540-0466-1846
VNix 0521-4055-0898
Val 4988-1722-1882
Valence 1079-7438-3971
Vance 2067-5890-3705
Vesf 4945-2177-2495
VicZ 3227-2295-1995
Victor 1895-7902-9550
Viktor 4300-9706-5532
Vilxs 0950-8969-6369
Virazz 4129-1819-6718
Vortex 2067-6012-2379
WalterLBN 2969-5408-9470
Watcha 5031-1176-5084
Wobii 1208-6055-2666
Woomy 4687-5243-4081
Xavier 0134-8508-4135
Yamaguchi 1638-0994-7740
Yasu 0220-7551-2729
Yasuo 2883-6296-9117
Yasuyoshi 2067-5915-5701
Yax 1337-4420-7148
Yoshikz 2883-6338-7035
Yoshter 2754-7851-5800
Yoyoto 1165-6559-5289
Yuchiro 5159-9711-8096
Yuiazu 2194-0574-7893
Yuri 5245-8629-3031
Yuto 4902-2759-2768
ZGunnar 3656-7309-4193
ZachNY 3527-8879-2316
Zakziko 4730-4710-2232
Zalm 0263-7001-3705
Zappy 3184-2873-1176
Zeke 0306-6628-8984
ZeldaCubed 0306-6503-7406
Zenon 1294-4938-3534
Zev 3055-4380-4084
Zoan 1852-8478-9344
Zorro 5159-9695-0050
Zowpex 0521-4129-9502
Zynno 1165-6422-7339
bobUK 4515-7230-7433
draggy 5031-1166-6793
geno2205 2067-5989-3703
haLR 0134-8585-4211
iGTP 2235-0545-1149
k1ng 2840-6808-6295
laToiture 3012-4807-5785
rogueAUS 2883-6383-1482
ru2 4730-4809-0926
sekai 4000-3286-5990
sparkster 2797-7413-5702
trace 4086-2249-1666
trombonewizzerd 0865-0088-4650
tsu 5031-1216-1890
yuyu 0607-2977-6167
zR 4558-6723-5641
